x,y,right_bound,left_bound
-4.597131,1.904102,0.000000,0.000000
-4.774099,1.905218,0.000000,0.000000
-4.946874,1.883315,0.000000,0.000000
-5.116825,1.842399,0.000000,0.000000
-5.283278,1.795127,0.000000,0.000000
-5.446518,1.727490,0.000000,0.000000
-5.598447,1.642927,0.000000,0.000000
-5.738444,1.540929,0.000000,0.000000
-5.872562,1.429810,0.000000,0.000000
-5.995033,1.304333,0.000000,0.000000
-6.109186,1.170403,0.000000,0.000000
-6.221939,1.028240,0.000000,0.000000
-6.313729,0.873238,0.000000,0.000000
-6.366645,0.711985,0.000000,0.000000
-6.424247,0.547739,0.000000,0.000000
-6.457262,0.380344,0.000000,0.000000
-6.492974,0.207883,0.000000,0.000000
-6.484568,0.033875,0.000000,0.000000
-6.472982,-0.137296,0.000000,0.000000
-6.448549,-0.311909,0.000000,0.000000
-6.414591,-0.483835,0.000000,0.000000
-6.382380,-0.655219,0.000000,0.000000
-6.332505,-0.823185,0.000000,0.000000
-6.267745,-0.986148,0.000000,0.000000
-6.190766,-1.141579,0.000000,0.000000
-6.103234,-1.291411,0.000000,0.000000
-5.998749,-1.433288,0.000000,0.000000
-5.884921,-1.566836,0.000000,0.000000
-5.760135,-1.687593,0.000000,0.000000
-5.618975,-1.789301,0.000000,0.000000
-5.465703,-1.875201,0.000000,0.000000
-5.296466,-1.927732,0.000000,0.000000
-5.124695,-1.950757,0.000000,0.000000
-4.948553,-1.958018,0.000000,0.000000
-4.841625,-1.931126,0.000000,0.000000
-4.681508,-1.871544,0.000000,0.000000
-4.519735,-1.811095,0.000000,0.000000
-4.357183,-1.750100,0.000000,0.000000
-4.192471,-1.688990,0.000000,0.000000
-4.029408,-1.629008,0.000000,0.000000
-3.865670,-1.567563,0.000000,0.000000
-3.701775,-1.508171,0.000000,0.000000
-3.538876,-1.448323,0.000000,0.000000
-3.375715,-1.386965,0.000000,0.000000
-3.210639,-1.327416,0.000000,0.000000
-3.048052,-1.268637,0.000000,0.000000
-2.884526,-1.207977,0.000000,0.000000
-2.722103,-1.148161,0.000000,0.000000
-2.557864,-1.085797,0.000000,0.000000
-2.394121,-1.025749,0.000000,0.000000
-2.228927,-0.968582,0.000000,0.000000
-2.066065,-0.908536,0.000000,0.000000
-1.903034,-0.847464,0.000000,0.000000
-1.738590,-0.786171,0.000000,0.000000
-1.574908,-0.725695,0.000000,0.000000
-1.412350,-0.666370,0.000000,0.000000
-1.248440,-0.606286,0.000000,0.000000
-1.083149,-0.546009,0.000000,0.000000
-0.920327,-0.484872,0.000000,0.000000
-0.756495,-0.424653,0.000000,0.000000
-0.593416,-0.364288,0.000000,0.000000
-0.430597,-0.304404,0.000000,0.000000
-0.265653,-0.243784,0.000000,0.000000
-0.103981,-0.183087,0.000000,0.000000
0.059800,-0.122683,0.000000,0.000000
